

🥇重温经典,#genre#
变形金刚LD,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/1080p/cae_h264_delogo/1649341416696755483/mda-nd6k8tnavw6sj0a5.mp4
变形金刚2K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/qhd/cae_h264_delogo/1649341416716222901/mda-nd6k8tnavw6sj0a5.mp4
变形金刚4K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/uhd/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4
Bicycle,https://vd2.bdstatic.com/mda-mbirabhun6n01ucc/v1-cae/1080p/mda-mbirabhun6n01ucc.mp4
玩家,https://vd3.bdstatic.com/mda-kbhkh7z58qvsn0a1/mda-kbhkh7z58qvsn0a1.mp4
钢铁侠,https://vd4.bdstatic.com/mda-narbupksqbu5yyiy/sc/cae_h264_nowatermark_delogo/1643187081773112317/mda-narbupksqbu5yyiy.mp4
龙腾虎跃,https://vd2.bdstatic.com/mda-nb48vhn84vq41zf3/1080p/cae_h264_delogo/1644042257215201305/mda-nb48vhn84vq41zf3.mp4
终结者,https://vd3.bdstatic.com/mda-jk1hupziz0524rq1/mda-jk1hupziz0524rq1.mp4
AA,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
Dreamcatcher,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4
东京-新宿,https://vd4.bdstatic.com/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4
大片3D,https://vd2.bdstatic.com/mda-ki2cvyhz79rw40wg/v1-cae/sc/mda-ki2cvyhz79rw40wg.mp4
小丑,https://vd2.bdstatic.com/mda-jkbrts1znp07ryb8/sc/mda-jkbrts1znp07ryb8.mp4
X战警：黑凤凰,https://vd2.bdstatic.com/mda-jetjizur4bnmfux8/hd/mda-jetjizur4bnmfux8.mp4
长津湖,https://vd3.bdstatic.com/mda-mgq3kek3j2cr07w7/sc/cae_h264_nowatermark/1627180666806871183/mda-mgq3kek3j2cr07w7.mp4
司藤,https://vd4.bdstatic.com/mda-nae2xzfan0zk06f7/sc/cae_h264_delogo/1642265942028031063/mda-nae2xzfan0zk06f7.mp4
星球大战9,https://vd3.bdstatic.com/mda-ndfj480755j9juhe/cae_h264_delogo/1650116825326935651/mda-ndfj480755j9juhe.mp4
MV,https://vd4.bdstatic.com/mda-kmbika46ppvf7nzc/v1-cae/1080p/mda-kmbika46ppvf7nzc.mp4


🌃历届春晚,#genre#
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
西游齐天乐1987,http://50069.njc.svp.tencent-cloud.com/0bc3fuaaiaaavuaibgr5f5rfalodaqwqabaa.f10003.mp4
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
春晚2024,https://ikcdn01.ikzybf.com/20240205/QBNgom4j/2000kb/hls/index.m3u8


📡央视超清,#genre#
CCTV1,http://rihou.cc:55/lib/migu.php?id=cctv1 
CCTV2,http://rihou.cc:55/lib/migu.php?id=cctv2 
CCTV3,http://rihou.cc:55/lib/migu.php?id=cctv3 
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4 
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4a 
 CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4o 
CCTV5,http://rihou.cc:55/lib/migu.php?id=cctv5
CCTV5+,http://rihou.cc:55/lib/migu.php?id=cctv5p
CCTV6,http://rihou.cc:55/lib/migu.php?id=cctv6 
CCTV7,http://rihou.cc:55/lib/migu.php?id=cctv7 
CCTV8,http://rihou.cc:55/lib/migu.php?id=cctv8 
CCTV9,http://rihou.cc:55/lib/migu.php?id=cctv9 
CCTV10,http://rihou.cc:55/lib/migu.php?id=cctv10
CCTV11,http://rihou.cc:55/lib/migu.php?id=cctv11 
CCTV12,http://rihou.cc:55/lib/migu.php?id=cctv12 
CCTV13,http://rihou.cc:55/lib/migu.php?id=cctv13 
CCTV14,http://rihou.cc:55/lib/migu.php?id=cctv14 
CCTV15,http://rihou.cc:55/lib/migu.php?id=cctv15 
CCTV17,http://rihou.cc:55/lib/migu.php?id=cctv17 



CCTV1,http://1.24.190.98:10080/hls/1/index.m3u8
CCTV2,http://1.24.190.98:10080/hls/2/index.m3u8
CCTV3,http://1.24.190.98:10080/hls/3/index.m3u8
CCTV4,http://1.24.190.98:10080/hls/4/index.m3u8
CCTV5,http://1.24.190.98:10080/hls/5/index.m3u8
CCTV5+,http://1.24.190.98:10080/hls/16/index.m3u8
CCTV6,http://1.24.190.98:10080/hls/6/index.m3u8
CCTV7,http://1.24.190.98:10080/hls/7/index.m3u8
CCTV8,http://1.24.190.98:10080/hls/8/index.m3u8
CCTV9,http://1.24.190.98:10080/hls/9/index.m3u8
CCTV10,http://1.24.190.98:10080/hls/10/index.m3u8
CCTV11,http://1.24.190.98:10080/hls/11/index.m3u8
CCTV12,http://1.24.190.98:10080/hls/12/index.m3u8
CCTV13,http://1.24.190.98:10080/hls/13/index.m3u8
CCTV14,http://1.24.190.98:10080/hls/14/index.m3u8
CCTV15,http://1.24.190.98:10080/hls/15/index.m3u8


CCTV1,http://60.174.40.117:9901/tsfile/live/0001_1.m3u8
CCTV2,http://60.174.40.117:9901/tsfile/live/0002_1.m3u8
CCTV3,http://60.174.40.117:9901/tsfile/live/0003_1.m3u8
CCTV4,http://60.174.40.117:9901/tsfile/live/0004_1.m3u8
CCTV5,http://60.174.40.117:9901/tsfile/live/0005_1.m3u8
CCTV6,http://60.174.40.117:9901/tsfile/live/0006_1.m3u8
CCTV7,http://60.174.40.117:9901/tsfile/live/0007_1.m3u8
CCTV8,http://60.174.40.117:9901/tsfile/live/0008_1.m3u8
CCTV9,http://60.174.40.117:9901/tsfile/live/0009_1.m3u8
CCTV10,http://60.174.40.117:9901/tsfile/live/0010_1.m3u8
CCTV11,http://60.174.40.117:9901/tsfile/live/0011_1.m3u8
CCTV12,http://60.174.40.117:9901/tsfile/live/0012_1.m3u8
CCTV13,http://60.174.40.117:9901/tsfile/live/0013_1.m3u8
CCTV14,http://60.174.40.117:9901/tsfile/live/0014_1.m3u8
CCTV15,http://60.174.40.117:9901/tsfile/live/0015_1.m3u8
CCTV5+,http://60.174.40.117:9901/tsfile/live/0016_1.m3u8
📡卫视频道,#genre#
东方卫视,http://rihou.cc:55/lib/migu.php?id=dfws 
重庆卫视,http://rihou.cc:55/lib/migu.php?id=cqws 
吉林卫视,http://rihou.cc:55/lib/migu.php?id=jlws 
辽宁卫视,http://rihou.cc:55/lib/migu.php?id=lnws 
内蒙古卫视,http://rihou.cc:55/lib/migu.php?id=nmws 
宁夏卫视,http://rihou.cc:55/lib/migu.php?id=nxws 
甘肃卫视,http://rihou.cc:55/lib/migu.php?id=gsws 
青海卫视,http://rihou.cc:55/lib/migu.php?id=qhws 
陕西卫视,http://rihou.cc:55/lib/migu.php?id=sxws 
山东卫视,http://rihou.cc:55/lib/migu.php?id=sdws 
河南卫视,http://rihou.cc:55/lib/migu.php?id=hnws 
湖北卫视,http://rihou.cc:55/lib/migu.php?id=hubws 
湖南卫视x,http://rihou.cc:55/lib/migu.php?id=hunws 
江西卫视,http://rihou.cc:55/lib/migu.php?id=jxws 
江苏卫视,http://rihou.cc:55/lib/migu.php?id=jsws 
东南卫视x,http://rihou.cc:55/lib/migu.php?id=dnws 
海峡卫视,http://rihou.cc:55/lib/migu.php?id=hxws 
广东卫视x,http://rihou.cc:55/lib/migu.php?id=gdws 
大湾区卫视,http://rihou.cc:55/lib/migu.php?id=dwqws 
广西卫视,http://rihou.cc:55/lib/migu.php?id=gxws 
云南卫视,http://rihou.cc:55/lib/migu.php?id=ynws 
贵州卫视,http://rihou.cc:55/lib/migu.php?id=gzws 
新疆卫视,http://rihou.cc:55/lib/migu.php?id=xjws 
西藏卫视,http://rihou.cc:55/lib/migu.php?id=xzws 
海南卫视,http://rihou.cc:55/lib/migu.php?id=hinws 

四海钓鱼,http://rihou.cc:55/lib/migu.php?id=shdy 

CHC动作电影,http://rihou.cc:55/lib/migu.php?id=chcdzdy 
CHC家庭影院,http://rihou.cc:55/lib/migu.php?id=chcjtdy 




北京卫视,http://1.24.190.98:10080/hls/68/index.m3u8
东方卫视,http://1.24.190.98:10080/hls/66/index.m3u8
江苏卫视,http://1.24.190.98:10080/hls/61/index.m3u8
湖南卫视,http://1.24.190.98:10080/hls/60/index.m3u8
深圳卫视,http://1.24.190.98:10080/hls/76/index.m3u8
广东卫视,http://1.24.190.98:10080/hls/79/index.m3u8
湖北卫视,http://1.24.190.98:10080/hls/65/index.m3u8
天津卫视,http://1.24.190.98:10080/hls/69/index.m3u8
河北卫视,http://1.24.190.98:10080/hls/78/index.m3u8
贵州卫视,http://1.24.190.98:10080/hls/91/index.m3u8
黑龙江视,http://1.24.190.98:10080/hls/70/index.m3u8
辽宁卫视,http://1.24.190.98:10080/hls/72/index.m3u8
山东卫视,http://1.24.190.98:10080/hls/83/index.m3u8
安徽卫视,http://1.24.190.98:10080/hls/85/index.m3u8
四川卫视,http://1.24.190.98:10080/hls/86/index.m3u8
海南卫视,http://1.24.190.98:10080/hls/99/index.m3u8
内蒙古卫视,http://1.24.190.98:10080/hls/31/index.m3u8
东南卫视,http://1.24.190.98:10080/hls/88/index.m3u8
兵团卫视,http://1.24.190.98:10080/hls/89/index.m3u8
广西卫视,http://1.24.190.98:10080/hls/90/index.m3u8
云南卫视,http://1.24.190.98:10080/hls/92/index.m3u8
宁夏卫视,http://1.24.190.98:10080/hls/93/index.m3u8
吉林卫视,http://1.24.190.98:10080/hls/71/index.m3u8
青海卫视,http://1.24.190.98:10080/hls/96/index.m3u8
北京卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.241:8000
东方卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.136:8032
浙江卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.137:8036
江苏卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.135:8028
湖南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.132:8012
深圳卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.134:8020
广东卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.142:8048
安徽卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.211:8064
天津卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.141:1234
重庆卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.122:8160
山东卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.209:8052
黑龙江视,http://www.liruixiang.cc:9000/rtp/239.3.1.133:8016
河北卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.148:8072
辽宁卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.210:8056
湖北卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.138:8044
吉林卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.240:8172
贵州卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.149:8076
东南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.156:8148
江西卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.123:8164


海南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.45:8304
云南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.26:8108
兵团卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.144:4120
厦门卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.143:4120
四川卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.29:8288
南方卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.161:8001
宁夏卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.46:8124
山西卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.42:8172
广西卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.39:8300
新疆卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.48:8160
河南卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.27:8128
甘肃卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.49:8188
西藏卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.47:8164
三沙卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.155:4120
陕西卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.41:8140
青海卫视,http://www.liruixiang.cc:9000/rtp/239.3.1.44:8184
内蒙古视,http://www.liruixiang.cc:9000/rtp/239.3.1.43:8176


北京卫视,http://fxgm.fxjf.work:19901/tsfile/live/0122_1.m3u8
浙江卫视,http://fxgm.fxjf.work:19901/tsfile/live/0124_1.m3u8
江苏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0127_1.m3u8
湖南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0128_1.m3u8
深圳卫视,http://fxgm.fxjf.work:19901/tsfile/live/0126_1.m3u8
广东卫视,http://fxgm.fxjf.work:19901/tsfile/live/0125_1.m3u8
天津卫视,http://fxgm.fxjf.work:19901/tsfile/live/0135_1.m3u8
安徽卫视,http://fxgm.fxjf.work:19901/tsfile/live/0130_1.m3u8
贵州卫视,http://fxgm.fxjf.work:19901/tsfile/live/0120_1.m3u8
山东卫视,http://fxgm.fxjf.work:19901/tsfile/live/0131_1.m3u8
山西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0118_1.m3u8
广西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0113_1.m3u8
湖北卫视,http://fxgm.fxjf.work:19901/tsfile/live/0132_1.m3u8
江西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0138_1.m3u8
河北卫视,http://fxgm.fxjf.work:19901/tsfile/live/0117_1.m3u8
河南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0139_1.m3u8
四川卫视,http://fxgm.fxjf.work:19901/tsfile/live/0123_1.m3u8
重庆卫视,http://fxgm.fxjf.work:19901/tsfile/live/0142_1.m3u8
东南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0137_1.m3u8
青海卫视,http://fxgm.fxjf.work:19901/tsfile/live/0140_1.m3u8
云南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0119_1.m3u8
辽宁卫视,http://fxgm.fxjf.work:19901/tsfile/live/0121_1.m3u8
陕西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0136_1.m3u8
内蒙古视,http://fxgm.fxjf.work:19901/tsfile/live/0109_1.m3u8
宁夏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0112_1.m3u8
吉林卫视,http://fxgm.fxjf.work:19901/tsfile/live/0116_1.m3u8
新疆卫视,http://fxgm.fxjf.work:19901/tsfile/live/0110_1.m3u8
甘肃卫视,http://fxgm.fxjf.work:19901/tsfile/live/0141_1.m3u8
西藏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0111_1.m3u8
黑龙江视,http://fxgm.fxjf.work:19901/tsfile/live/0143_1.m3u8
